"sport","event","year","athlete_id","country_id","bronze","silver","gold"
"Track and Field","Women's Marathon","2016-01-01",5967,147,NULL,NULL,NULL
"Track and Field","Men's 50 kilometres Walk","2016-01-01",5975,146,NULL,NULL,NULL
"Track and Field","Men's Decathlon","2016-01-01",6050,67,NULL,NULL,NULL
"Swimming","Swimming Women's 200 metres Backstroke","2016-01-01",6140,189,NULL,NULL,NULL
"Track and Field","Men's Marathon","2016-01-01",6196,143,NULL,NULL,NULL
"Track and Field","Women's 3,000 metres Steeplechase","2016-01-01",6202,63,NULL,NULL,NULL
"Track and Field","Women's 5,000 metres","2016-01-01",6204,63,"1",NULL,NULL
"Track and Field","Women's 10,000 metres","2016-01-01",6204,63,NULL,NULL,"1"
"Swimming","Swimming Men's 10 kilometres Open Water","2016-01-01",6218,29,NULL,NULL,NULL
"Track and Field","Women's Marathon","2016-01-01",6219,189,NULL,NULL,NULL
"Track and Field","Women's 20 kilometres Walk","2016-01-01",6226,96,NULL,NULL,NULL
"Track and Field","Men's 400 metres Hurdles","2016-01-01",6309,163,NULL,NULL,NULL
"Track and Field","Women's 400 metres","2016-01-01",6311,147,NULL,NULL,NULL
"Track and Field","Women's 800 metres","2016-01-01",6377,118,NULL,NULL,NULL
"Swimming","Swimming Women's 100 metres Butterfly","2016-01-01",6385,201,NULL,NULL,NULL
"Track and Field","Men's High Jump","2016-01-01",6406,52,NULL,NULL,NULL
"Track and Field","Women's 3,000 metres Steeplechase","2016-01-01",6427,86,NULL,NULL,NULL
"Track and Field","Men's Triple Jump","2016-01-01",6433,13,NULL,NULL,NULL
"Track and Field","Men's High Jump","2016-01-01",6660,11,NULL,NULL,NULL
"Track and Field","Men's Javelin Throw","2016-01-01",6663,149,NULL,NULL,NULL
"Swimming","Swimming Women's 200 metres Breaststroke","2016-01-01",6739,171,NULL,NULL,NULL
"Track and Field","Men's 20 kilometres Walk","2016-01-01",6778,26,NULL,NULL,NULL
"Track and Field","Women's 1,500 metres","2016-01-01",6843,178,NULL,NULL,NULL
"Track and Field","Men's 100 metres","2016-01-01",6888,7,NULL,NULL,NULL
"Track and Field","Men's Discus Throw","2016-01-01",6911,195,NULL,NULL,NULL
"Track and Field","Men's 4 x 100 metres Relay","2016-01-01",6912,93,NULL,NULL,"1"
"Track and Field","Men's 110 metres Hurdles","2016-01-01",6969,84,NULL,NULL,NULL
"Track and Field","Men's High Jump","2016-01-01",7014,73,NULL,NULL,NULL
"Swimming","Swimming Women's 100 metres Backstroke","2016-01-01",7020,195,NULL,"1",NULL
"Swimming","Swimming Women's 4 x 100 metres Medley Relay","2016-01-01",7020,195,NULL,NULL,"1"
"Track and Field","Women's 800 metres","2016-01-01",7048,175,NULL,NULL,NULL
"Swimming","Swimming Men's 100 metres Breaststroke","2016-01-01",7133,96,NULL,NULL,NULL
"Swimming","Swimming Men's 200 metres Breaststroke","2016-01-01",7133,96,NULL,NULL,"1"
"Track and Field","Women's 800 metres","2016-01-01",7187,108,NULL,NULL,NULL
"Track and Field","Men's 4 x 400 metres Relay","2016-01-01",7226,26,NULL,NULL,NULL
"Track and Field","Men's 5,000 metres","2016-01-01",7246,15,NULL,NULL,NULL
"Swimming","Swimming Women's 200 metres Freestyle","2016-01-01",7347,67,NULL,NULL,NULL
"Swimming","Swimming Women's 400 metres Freestyle","2016-01-01",7347,67,NULL,NULL,NULL
"Swimming","Swimming Women's 4 x 200 metres Freestyle Relay","2016-01-01",7347,67,NULL,NULL,NULL
"Track and Field","Men's Pole Vault","2016-01-01",7348,52,NULL,NULL,NULL
"Swimming","Swimming Men's 100 metres Backstroke","2016-01-01",7354,84,NULL,NULL,NULL
"Swimming","Swimming Men's 4 x 100 metres Medley Relay","2016-01-01",7354,84,NULL,NULL,NULL
"Track and Field","Men's 200 metres","2016-01-01",7379,42,NULL,NULL,NULL
"Track and Field","Women's Long Jump","2016-01-01",7387,62,NULL,NULL,NULL
